titulo,descricao,preco,endereco,quartos,banheiros,area,tipo
Apartamento 3 quartos com Garagem,Lindo apartamento no centro com garagem. Edifício com elevador e portaria 24h,1200.00,Rua das Flores 123 - Centro,3,2,95,"Apartamento"
Casa Térrea 4 quartos em Bom Retiro,Excelente casa térrea com quintal amplo. Próximo a escolas e comércio,1800.00,Av. Bom Retiro 456 - Bom Retiro,4,3,180,"Casa"
Kitnet Equipada no Centro,Kitnet completa mobiliada. Ideal para profissional. 1 quarto + sala integrada,600.00,Rua do Comércio 789 - Centro,1,1,35,"Kitnet"
Apartamento Novo 2 quartos,Apartamento novinho em edifício seguro com lazer. Já com acabamento,1100.00,Av. Santa Maria 321 - Jarivatuba,2,1,72,"Apartamento"
Casa Geminada Joinville,Casa geminada bem localizada. Confortável com bom acabamento,1400.00,Rua das Acácias 654 - Pirabeiraba,3,2,120,"Casa"
Apartamento Mobiliado Centro Histórico,Apartamento mobiliado no coração histórico. Perfeito para temporada,800.00,Rua 15 de Novembro 159 - Centro Histórico,1,1,50,"Apartamento"
Sobrado 3 quartos Santo Antônio,Sobrado confortável com garagem. Bairro tranquilo e bem frequentado,1600.00,Rua Santo Antônio 777 - Santo Antônio,3,2,150,"Sobrado"
Apartamento Cobertura com Vista,Cobertura duplex com varanda panorâmica. Vista para o mar,2000.00,Av. Beira Mar 888 - Praia Centro,2,2,110,"Cobertura"
Casa Aluguel Anual Pirabeiraba,Casa espaçosa em Pirabeiraba. 2 anos mínimo de aluguel,1300.00,Estrada Pirabeiraba 321 - Pirabeiraba,3,2,140,"Casa"
Quitinete Próximo à UNIVILLE,Quitinete bem localizada próxima à UNIVILLE. Ideal para estudante,550.00,Rua UNIVILLE 555 - Universitário,1,1,30,"Quitinete"
